observation_date,CES9091000001
1967-03-01,2835
1967-04-01,2839
1967-05-01,2848
1967-06-01,2860
1967-07-01,2866
1967-08-01,2872
1967-09-01,2869
1967-10-01,2873
1967-11-01,2872
1967-12-01,2876
1968-01-01,2871
1968-02-01,2865
1968-03-01,2859
1968-04-01,2861
1968-05-01,2861
1968-06-01,2908
1968-07-01,2909
1968-08-01,2883
1968-09-01,2868
1968-10-01,2864
1968-11-01,2873
1968-12-01,2849
1969-01-01,2910
1969-02-01,2903
1969-03-01,2889
1969-04-01,2889
1969-05-01,2883
1969-06-01,2928
1969-07-01,2909
1969-08-01,2899
1969-09-01,2896
1969-10-01,2889
1969-11-01,2876
1969-12-01,2861
1970-01-01,2861
1970-02-01,2849
1970-03-01,2921
1970-04-01,2996
1970-05-01,2919
1970-06-01,2867
1970-07-01,2838
1970-08-01,2824
1970-09-01,2829
1970-10-01,2827
1970-11-01,2830
1970-12-01,2824
1971-01-01,2823
1971-02-01,2816
1971-03-01,2806
1971-04-01,2810
1971-05-01,2808
1971-06-01,2827
1971-07-01,2837
1971-08-01,2849
1971-09-01,2848
1971-10-01,2845
1971-11-01,2839
1971-12-01,2824
1972-01-01,2839
1972-02-01,2831
1972-03-01,2823
1972-04-01,2822
1972-05-01,2817
1972-06-01,2814
1972-07-01,2787
1972-08-01,2806
1972-09-01,2807
1972-10-01,2811
1972-11-01,2812
1972-12-01,2812
1973-01-01,2805
1973-02-01,2796
1973-03-01,2798
1973-04-01,2796
1973-05-01,2800
1973-06-01,2790
1973-07-01,2761
1973-08-01,2782
1973-09-01,2788
1973-10-01,2791
1973-11-01,2801
1973-12-01,2813
1974-01-01,2817
1974-02-01,2833
1974-03-01,2838
1974-04-01,2846
1974-05-01,2853
1974-06-01,2859
1974-07-01,2869
1974-08-01,2874
1974-09-01,2876
1974-10-01,2875
1974-11-01,2875
1974-12-01,2874
1975-01-01,2873
1975-02-01,2873
1975-03-01,2875
1975-04-01,2874
1975-05-01,2875
1975-06-01,2871
1975-07-01,2885
1975-08-01,2886
1975-09-01,2891
1975-10-01,2893
1975-11-01,2893
1975-12-01,2897
1976-01-01,2887
1976-02-01,2882
1976-03-01,2876
1976-04-01,2872
1976-05-01,2866
1976-06-01,2850
1976-07-01,2854
1976-08-01,2855
1976-09-01,2855
1976-10-01,2853
1976-11-01,2864
1976-12-01,2850
1977-01-01,2851
1977-02-01,2851
1977-03-01,2854
1977-04-01,2858
1977-05-01,2857
1977-06-01,2853
1977-07-01,2852
1977-08-01,2860
1977-09-01,2865
1977-10-01,2867
1977-11-01,2872
1977-12-01,2870
1978-01-01,2881
1978-02-01,2881
1978-03-01,2879
1978-04-01,2881
1978-05-01,2881
1978-06-01,2886
1978-07-01,2892
1978-08-01,2902
1978-09-01,2908
1978-10-01,2915
1978-11-01,2919
1978-12-01,2899
1979-01-01,2916
1979-02-01,2912
1979-03-01,2905
1979-04-01,2883
1979-05-01,2880
1979-06-01,2882
1979-07-01,2884
1979-08-01,2925
1979-09-01,2884
1979-10-01,2887
1979-11-01,2886
1979-12-01,2886
1980-01-01,2886
1980-02-01,2907
1980-03-01,2960
1980-04-01,3258
1980-05-01,3088
1980-06-01,3076
1980-07-01,3023
1980-08-01,2980
1980-09-01,2936
1980-10-01,2958
1980-11-01,2960
1980-12-01,2961
1981-01-01,2961
1981-02-01,2946
1981-03-01,2932
1981-04-01,2915
1981-05-01,2904
1981-06-01,2908
1981-07-01,2912
1981-08-01,2921
1981-09-01,2920
1981-10-01,2920
1981-11-01,2913
1981-12-01,2907
1982-01-01,2902
1982-02-01,2894
1982-03-01,2890
1982-04-01,2872
1982-05-01,2855
1982-06-01,2873
1982-07-01,2876
1982-08-01,2885
1982-09-01,2876
1982-10-01,2890
1982-11-01,2896
1982-12-01,2896
1983-01-01,2921
1983-02-01,2910
1983-03-01,2908
1983-04-01,2902
1983-05-01,2904
1983-06-01,2905
1983-07-01,2908
1983-08-01,2913
1983-09-01,2935
1983-10-01,2928
1983-11-01,2920
1983-12-01,2923
1984-01-01,2920
1984-02-01,2922
1984-03-01,2926
1984-04-01,2931
1984-05-01,2937
1984-06-01,2941
1984-07-01,2945
1984-08-01,2950
1984-09-01,2955
1984-10-01,2957
1984-11-01,2962
1984-12-01,2964
1985-01-01,2964
1985-02-01,2961
1985-03-01,2973
1985-04-01,2996
1985-05-01,3008
1985-06-01,3019
1985-07-01,3029
1985-08-01,3037
1985-09-01,3038
1985-10-01,3039
1985-11-01,3046
1985-12-01,3051
1986-01-01,3055
1986-02-01,3056
1986-03-01,3055
1986-04-01,3052
1986-05-01,3043
1986-06-01,3027
1986-07-01,3023
1986-08-01,3035
1986-09-01,3043
1986-10-01,3045
1986-11-01,3046
1986-12-01,3051
1987-01-01,3060
1987-02-01,3064
1987-03-01,3072
1987-04-01,3073
1987-05-01,3078
1987-06-01,3085
1987-07-01,3089
1987-08-01,3094
1987-09-01,3100
1987-10-01,3111
1987-11-01,3122
1987-12-01,3126
1988-01-01,3125
1988-02-01,3119
1988-03-01,3113
1988-04-01,3107
1988-05-01,3100
1988-06-01,3099
1988-07-01,3104
1988-08-01,3119
1988-09-01,3141
1988-10-01,3153
1988-11-01,3159
1988-12-01,3156
1989-01-01,3158
1989-02-01,3159
1989-03-01,3152
1989-04-01,3142
1989-05-01,3143
1989-06-01,3137
1989-07-01,3135
1989-08-01,3133
1989-09-01,3127
1989-10-01,3124
1989-11-01,3121
1989-12-01,3098
1990-01-01,3103
1990-02-01,3109
1990-03-01,3194
1990-04-01,3259
1990-05-01,3435
1990-06-01,3332
1990-07-01,3274
1990-08-01,3174
1990-09-01,3136
1990-10-01,3114
1990-11-01,3108
1990-12-01,3110
1991-01-01,3098
1991-02-01,3096
1991-03-01,3095
1991-04-01,3086
1991-05-01,3096
1991-06-01,3103
1991-07-01,3133
1991-08-01,3121
1991-09-01,3121
1991-10-01,3131
1991-11-01,3128
1991-12-01,3121
1992-01-01,3137
1992-02-01,3121
1992-03-01,3121
1992-04-01,3117
1992-05-01,3119
1992-06-01,3117
1992-07-01,3117
1992-08-01,3109
1992-09-01,3107
1992-10-01,3090
1992-11-01,3083
1992-12-01,3101
1993-01-01,3092
1993-02-01,3079
1993-03-01,3071
1993-04-01,3069
1993-05-01,3065
1993-06-01,3067
1993-07-01,3071
1993-08-01,3064
1993-09-01,3057
1993-10-01,3039
1993-11-01,3036
1993-12-01,3037
1994-01-01,3053
1994-02-01,3046
1994-03-01,3043
1994-04-01,3034
1994-05-01,3027
1994-06-01,3017
1994-07-01,3009
1994-08-01,3002
1994-09-01,3002
1994-10-01,2997
1994-11-01,2984
1994-12-01,2983
1995-01-01,2973
1995-02-01,2970
1995-03-01,2965
1995-04-01,2964
1995-05-01,2959
1995-06-01,2959
1995-07-01,2949
1995-08-01,2943
1995-09-01,2929
1995-10-01,2934
1995-11-01,2913
1995-12-01,2903
1996-01-01,2900
1996-02-01,2905
1996-03-01,2900
1996-04-01,2894
1996-05-01,2887
1996-06-01,2884
1996-07-01,2877
1996-08-01,2873
1996-09-01,2866
1996-10-01,2845
1996-11-01,2845
1996-12-01,2839
1997-01-01,2845
1997-02-01,2838
1997-03-01,2836
1997-04-01,2816
1997-05-01,2813
1997-06-01,2815
1997-07-01,2778
1997-08-01,2777
1997-09-01,2772
1997-10-01,2791
1997-11-01,2796
1997-12-01,2789
1998-01-01,2772
1998-02-01,2768
1998-03-01,2762
1998-04-01,2752
1998-05-01,2762
1998-06-01,2762
1998-07-01,2771
1998-08-01,2776
1998-09-01,2772
1998-10-01,2778
1998-11-01,2790
1998-12-01,2785
1999-01-01,2765
1999-02-01,2773
1999-03-01,2767
1999-04-01,2793
1999-05-01,2764
1999-06-01,2766
1999-07-01,2765
1999-08-01,2773
1999-09-01,2766
1999-10-01,2766
1999-11-01,2767
1999-12-01,2771
2000-01-01,2768
2000-02-01,2796
2000-03-01,2884
2000-04-01,2911
2000-05-01,3244
2000-06-01,3004
2000-07-01,2942
2000-08-01,2868
2000-09-01,2745
2000-10-01,2736
2000-11-01,2737
2000-12-01,2745
2001-01-01,2753
2001-02-01,2752
2001-03-01,2755
2001-04-01,2755
2001-05-01,2758
2001-06-01,2780
2001-07-01,2783
2001-08-01,2780
2001-09-01,2770
2001-10-01,2763
2001-11-01,2759
2001-12-01,2751
2002-01-01,2756
2002-02-01,2757
2002-03-01,2755
2002-04-01,2755
2002-05-01,2768
2002-06-01,2768
2002-07-01,2757
2002-08-01,2762
2002-09-01,2768
2002-10-01,2780
2002-11-01,2781
2002-12-01,2780
2003-01-01,2789
2003-02-01,2789
2003-03-01,2791
2003-04-01,2769
2003-05-01,2753
2003-06-01,2763
2003-07-01,2760
2003-08-01,2751
2003-09-01,2749
2003-10-01,2742
2003-11-01,2728
2003-12-01,2740
2004-01-01,2732
2004-02-01,2731
2004-03-01,2731
2004-04-01,2753
2004-05-01,2730
2004-06-01,2730
2004-07-01,2729
2004-08-01,2729
2004-09-01,2729
2004-10-01,2724
2004-11-01,2727
2004-12-01,2728
2005-01-01,2727
2005-02-01,2728
2005-03-01,2733
2005-04-01,2725
2005-05-01,2734
2005-06-01,2733
2005-07-01,2728
2005-08-01,2731
2005-09-01,2732
2005-10-01,2735
2005-11-01,2739
2005-12-01,2733
2006-01-01,2727
2006-02-01,2733
2006-03-01,2733
2006-04-01,2733
2006-05-01,2734
2006-06-01,2736
2006-07-01,2740
2006-08-01,2733
2006-09-01,2732
2006-10-01,2731
2006-11-01,2729
2006-12-01,2730
2007-01-01,2731
2007-02-01,2732
2007-03-01,2731
2007-04-01,2732
2007-05-01,2733
2007-06-01,2729
2007-07-01,2727
2007-08-01,2738
2007-09-01,2737
2007-10-01,2734
2007-11-01,2744
2007-12-01,2756
2008-01-01,2738
2008-02-01,2747
2008-03-01,2752
2008-04-01,2755
2008-05-01,2757
2008-06-01,2759
2008-07-01,2767
2008-08-01,2766
2008-09-01,2768
2008-10-01,2772
2008-11-01,2778
2008-12-01,2775
2009-01-01,2786
2009-02-01,2795
2009-03-01,2797
2009-04-01,2922
2009-05-01,2860
2009-06-01,2814
2009-07-01,2826
2009-08-01,2825
2009-09-01,2826
2009-10-01,2843
2009-11-01,2842
2009-12-01,2831
2010-01-01,2860
2010-02-01,2872
2010-03-01,2923
2010-04-01,2984
2010-05-01,3416
2010-06-01,3193
2010-07-01,3051
2010-08-01,2945
2010-09-01,2869
2010-10-01,2866
2010-11-01,2866
2010-12-01,2870
2011-01-01,2874
2011-02-01,2876
2011-03-01,2877
2011-04-01,2870
2011-05-01,2871
2011-06-01,2860
2011-07-01,2862
2011-08-01,2850
2011-09-01,2846
2011-10-01,2850
2011-11-01,2842
2011-12-01,2836
2012-01-01,2833
2012-02-01,2828
2012-03-01,2828
2012-04-01,2826
2012-05-01,2823
2012-06-01,2824
2012-07-01,2815
2012-08-01,2820
2012-09-01,2822
2012-10-01,2824
2012-11-01,2809
2012-12-01,2806
2013-01-01,2806
2013-02-01,2806
2013-03-01,2794
2013-04-01,2794
2013-05-01,2775
2013-06-01,2771
2013-07-01,2761
2013-08-01,2754
2013-09-01,2753
2013-10-01,2739
2013-11-01,2746
2013-12-01,2741
2014-01-01,2736
2014-02-01,2731
2014-03-01,2728
2014-04-01,2728
2014-05-01,2728
2014-06-01,2729
2014-07-01,2731
2014-08-01,2735
2014-09-01,2735
2014-10-01,2735
2014-11-01,2740
2014-12-01,2743
2015-01-01,2745
2015-02-01,2747
2015-03-01,2748
2015-04-01,2763
2015-05-01,2753
2015-06-01,2754
2015-07-01,2756
2015-08-01,2760
2015-09-01,2759
2015-10-01,2759
2015-11-01,2766
2015-12-01,2776
2016-01-01,2771
2016-02-01,2778
2016-03-01,2783
2016-04-01,2785
2016-05-01,2792
2016-06-01,2797
2016-07-01,2800
2016-08-01,2803
2016-09-01,2806
2016-10-01,2804
2016-11-01,2798
2016-12-01,2815
2017-01-01,2813
2017-02-01,2812
2017-03-01,2810
2017-04-01,2798
2017-05-01,2808
2017-06-01,2805
2017-07-01,2806
2017-08-01,2802
2017-09-01,2799
2017-10-01,2802
2017-11-01,2791
2017-12-01,2794
2018-01-01,2794
2018-02-01,2790
2018-03-01,2792
2018-04-01,2800
2018-05-01,2793
2018-06-01,2798
2018-07-01,2799
2018-08-01,2801
2018-09-01,2805
2018-10-01,2805
2018-11-01,2809
2018-12-01,2808
2019-01-01,2808
2019-02-01,2810
2019-03-01,2811
2019-04-01,2827
2019-05-01,2829
2019-06-01,2833
2019-07-01,2829
2019-08-01,2854
2019-09-01,2852
2019-10-01,2837
2019-11-01,2842
2019-12-01,2837
2020-01-01,2855
2020-02-01,2857
2020-03-01,2876
2020-04-01,2875
2020-05-01,2876
2020-06-01,2883
2020-07-01,2908
2020-08-01,3156
2020-09-01,3123
2020-10-01,2981
2020-11-01,2892
2020-12-01,2897
2021-01-01,2886
2021-02-01,2882
2021-03-01,2885
2021-04-01,2895
2021-05-01,2887
2021-06-01,2888
2021-07-01,2888
2021-08-01,2887
2021-09-01,2886
2021-10-01,2876
2021-11-01,2888
2021-12-01,2881
2022-01-01,2878
2022-02-01,2874
2022-03-01,2869
2022-04-01,2867
2022-05-01,2863
2022-06-01,2852
2022-07-01,2862
2022-08-01,2859
2022-09-01,2863
2022-10-01,2869
2022-11-01,2875
2022-12-01,2873
2023-01-01,2882
2023-02-01,2890
2023-03-01,2897
2023-04-01,2905
2023-05-01,2914
2023-06-01,2923
2023-07-01,2928
2023-08-01,2942
2023-09-01,2948
2023-10-01,2955
2023-11-01,2957
2023-12-01,2966
2024-01-01,2977
2024-02-01,2985
2024-03-01,2997
2024-04-01,2995
2024-05-01,2998
2024-06-01,3000
2024-07-01,3002
2024-08-01,3004
2024-09-01,3008
2024-10-01,3011
2024-11-01,3009
2024-12-01,3012
2025-01-01,3015
2025-02-01,3002
2025-03-01,2998
2025-04-01,2989
